P_NAME,P_STATUS,P_MASS,P_RADIUS,P_YEAR,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ANGULAR_DISTANCE,P_DETECTION,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_AGE,S_TEMPERATURE,S_LOG_G,S_ALT_NAMES,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
11 Com b,3.0,6165.8633,,2007,326.03,1.29,13.8,Radial Velocity,11 Com,185.17928,17.792868,4.74,93.37,-0.35,2.7,19.0,,4742.0,2.31,"HD 107383, HIP 60202",1.3244178,0.99201,1.58799,1.2987592,101.01141,799.44963,Jovian,K,12.345286,12 20 43.0286,+17 47 34.3248,34.529063,0.47646024,0.64240028,0,0,Hot,0,0.083813263,Coma Berenices,Com,Berenice's Hair
11 UMi b,3.0,4684.7848,,2009,516.21997,1.53,12.2,Radial Velocity,11 UMi,229.27454,71.823898,5016,125.72,-0.02,2.78,29.79,,4213.0,1.93,"HD 136726, HIP 74793",1.534896,1.4076,1.6524,1.5312267,107.35118,819.07569,Jovian,K,15.28497,15 17 05.8915,+71 49 26.0328,42.732816,0.19389083,0.64868332,0,0,Hot,0,0.082414476,Ursa Minor,UMi,Little Bear
14 And b,3.0,1525.5744,,2008,185.84,0.83,11.0,Radial Velocity,14 And,352.82257,39.236198,5227,75.59,-0.24,2.2,11.0,,4813.0,2.63,"HD 221345, HIP 116076",0.83,0.83,0.83,0.83000002,84.446427,772.30746,Jovian,G,23.521506,23 31 17.4215,+39 14 10.3128,20.593611,0.50275224,0.60001028,0,0,Hot,0,0.081917127,Andromeda,And,Andromeda
14 Her b,3.0,1481.0785,,2002,1773.4,2.93,163.0,Radial Velocity,14 Her,242.6013,43.817646,6.61,17.94,0.41,0.9,0.93,,5338.0,4.45,"HD 145675, HIP 79248",3.1305585,1.8459,4.0141,2.9825498,0.078886561,131.38424,Jovian,K,16.173421,16 10 24.3158,+43 49 03.5256,2.1416484,0.91975583,0.44541547,0,0,Cold,0,0.14524062,Hercules,Her,Hercules
16 Cyg B b,3.0,565.73385,,1996,798.5,1.66,78.5,Radial Velocity,16 Cyg B,295.46655,50.517525,6.25,21.15,0.06,1.08,1.13,,5750.0,4.36,"HD 186427, HIP 96901",2.043792,0.5312,2.7888,1.7748696,0.61897215,202.22783,Jovian,G,19.697771,19 41 51.9764,+50 31 03.0900,3.019411,1.9836585,0.47332457,1,1,Warm,0,0.36862709,Cygnus,Cyg,Swan
18 Del b,3.0,3273.6284,,2008,993.3,2.6,34.0,Radial Velocity,18 Del,314.60806,10.839286,5506,76.38,-52,2.3,8.5,,4979.0,2.82,"HD 199665, HIP 103527",2.60832,2392,2808,2.6020847,5.9039479,396.65045,Jovian,G,20.973872,20 58 25.9391,+10 50 21.4296,17.029868,0.67864811,0.60896698,0,0,Hot,0,0.21617437,Delphinus,Del,Dolphin
1RXS J160929.1-210524 b,3.0,2542.6240,,2008,,330.0,2280.0,Imaging,1RXS J160929.1-210524,242.37627,-21.083036,,145.0,,0.85,,5,4060.0,,",",330.0,330.0,330.0,330.00001,,,Jovian,K,16.158419,16 09 30.3074,-21 04 58.9296,,0.10042903,0.14012839,0,0,,0,,Scorpius,Sco,Scorpion
24 Boo b,3.0,289.22348,,2018,30.3506,0.19,1.97,Radial Velocity,24 Boo,217.15755,49.844852,5.58,96.25,-0.77,0.99,10.64,6.92,4893.0,2.42,"HD 127243, HIP 70791",0.19016758,0.18202,0.19798,0.19004195,1611.9403,1613.7579,Jovian,G,14.477171,14 28 37.8140,+49 50 41.4672,20.587336,0.4420258,0.49217655,0,0,Hot,0,0.065684936,Bootes,Boo,Herdsman
24 Sex b,3.0,632.47773,,2010,452.8,1333,18.5,Radial Velocity,24 Sex,155.86821,-0.902244,6441,72.21,-0.03,1.54,4.9,2.7,5098.0,3.5,"HD 90043, HIP 50887",1.3383987,1.21303,1.45297,1.3343533,8.2108078,430.60546,Jovian,K,10.391215,10 23 28.3724,+00 54 08.0784,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.17730446,Sextans,Sex,Sextant
24 Sex c,3.0,273.33208,,2010,883.0,2.08,28.8,Radial Velocity,24 Sex,155.86821,-0.902244,6441,72.21,-0.03,1.54,4.9,2.7,5098.0,3.5,"HD 90043, HIP 50887",2.167464,1.4768,2.6832,2.1024946,3.5093722,343.04216,Jovian,K,10.391215,10 23 28.3724,+00 54 08.0784,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.2724776,Sextans,Sex,Sextant
